Date,Channel,Sessions,Revenue,AOV,CPA
42716,Channel C,13785,133115,79.67,5
42716,Channel D,8409,97739,86.14,20
42715,Channel A,3161,55207,84.38,3
42715,Channel B,2466,19691,86.73,21
42715,Channel C,10344,87335,82.55,5
42715,Channel D,4587,48594,86.83,12
42714,Channel A,2811,45844,82.76,7
42714,Channel B,5138,24796,80.47,22
42714,Channel C,10958,79987,80.62,5
42714,Channel D,4307,37460,85.39,13
42713,Channel A,4110,71832,84.12,4
42713,Channel B,2056,23485,92.14,25
42713,Channel C,12049,99299,81.61,7
42713,Channel D,6653,70543,86.86,15
42712,Channel A,4463,76220,82.15,5
42712,Channel B,2516,30078,93.66,34
42712,Channel C,12526,119229,83.77,9
42712,Channel D,7316,80791,84.45,16
42711,Channel A,4653,77392,81.27,8
42711,Channel B,3140,39014,109.98,18
42711,Channel C,13687,96454,82.02,11
42711,Channel D,7444,78766,84.8,15
42710,Channel A,4528,79787,82.29,7
42710,Channel B,2495,29272,92.68,35
42710,Channel C,13887,89165,78.58,5
42710,Channel D,7522,77085,82.69,10
42709,Channel A,4310,77243,79,3
42709,Channel B,2546,27035,93.72,27
42709,Channel C,11473,87276,78.78,5
42709,Channel D,7547,79989,82.37,19
42708,Channel A,2863,46253,78.73,3
42708,Channel B,1254,11932,88.15,30
42708,Channel C,9911,85941,78.36,10
42708,Channel D,3946,37513,85.41,14
42707,Channel A,2452,37267,82.68,10
42707,Channel B,1268,11762,96.09,19
42707,Channel C,9472,54856,75.44,11
42707,Channel D,3853,29845,85.06,14
42706,Channel A,4075,63578,80.72,6
42706,Channel B,2021,22549,93.39,23
42706,Channel C,11006,71678,78.55,5
42706,Channel D,6399,62559,84.74,18
42705,Channel A,4719,75814,83.84,9
42705,Channel B,2305,27065,94.93,19
42705,Channel C,10742,71157,80.66,10
42705,Channel D,7174,70884,85.46,19
42704,Channel A,4471,74110,81.43,4
42704,Channel B,2270,25750,98.07,18
42704,Channel C,9963,62624,69.84,10
42704,Channel D,6840,67185,83.76,18
42703,Channel A,4162,67786,80.7,3
42703,Channel B,2437,27567,95.4,26
42703,Channel C,8897,76413,76.02,5
42703,Channel D,6731,68348,83.71,19
42702,Channel A,4789,80643,79.96,10
42702,Channel B,2418,28496,102.36,22
42702,Channel C,10406,122553,82.76,11
42702,Channel D,7376,77592,81.11,17
42701,Channel A,2280,34807,76.74,3
42701,Channel B,1278,12020,93.79,20
42701,Channel C,4226,32823,82.79,5
42701,Channel D,3310,28910,83.19,15
42700,Channel A,1847,26930,79.02,4
42700,Channel B,1208,11219,99.03,29
42700,Channel C,3208,17022,75.77,7
42700,Channel D,2946,21972,85.56,12
42699,Channel A,1986,26309,80.01,9
42699,Channel B,1266,12058,98.51,25
42699,Channel C,2970,17442,80.57,11
42699,Channel D,3526,27096,82.41,11
42698,Channel A,1295,14856,79.56,9
42698,Channel B,625,5242,97.5,35
42698,Channel C,941,6941,81.7,5
42698,Channel D,2218,15737,84.5,19
42697,Channel A,3008,50552,80.21,9
42697,Channel B,2090,17874,91.72,30
42697,Channel C,4940,58520,79.79,6
42697,Channel D,5714,55607,84.75,18
42696,Channel A,3765,70521,81.22,9
42696,Channel B,1932,20652,92.13,31
42696,Channel C,6679,83523,77.93,5
42696,Channel D,7153,76186,81.98,15
42695,Channel A,4517,84820,78.61,4
42695,Channel B,2153,26614,90.01,34
42695,Channel C,12033,129984,75.52,8
42695,Channel D,7485,88577,81.87,14
42694,Channel A,2397,41514,78.91,7
42694,Channel B,1224,11714,86.54,15
42694,Channel C,4807,53442,74.82,6
42694,Channel D,3729,36551,80.58,14
42693,Channel A,2109,35107,78.22,8
42693,Channel B,1343,12838,89.45,22
42693,Channel C,4428,35323,78.54,12
42693,Channel D,3772,32574,80.98,18
42692,Channel A,3249,58212,79.68,7
42692,Channel B,2507,25911,92.12,29
42692,Channel C,5278,50150,75.06,9
42692,Channel D,6192,69616,82.03,16
42691,Channel A,3432,70661,79.4,5
42691,Channel B,6063,37462,88.19,28
42691,Channel C,5905,61360,75.06,7
42691,Channel D,6960,79656,82.07,10
42690,Channel A,3662,69843,76.62,7
42690,Channel B,6095,35457,86.6,23
42690,Channel C,6420,57045,69.3,10
42690,Channel D,6339,74762,81.93,18
42689,Channel A,3812,69686,76.33,5
42689,Channel B,2047,23027,94.06,34
42689,Channel C,6280,62211,73.39,8
42689,Channel D,6964,77289,78.66,16
42688,Channel A,3726,74311,77.76,9
42688,Channel B,1803,21380,98.33,35
42688,Channel C,6428,51946,67.51,6
42688,Channel D,6918,76353,78.83,15
42687,Channel A,1870,32249,74.32,7
42687,Channel B,900,8430,90.52,30
42687,Channel C,1356,17553,76.35,8
42687,Channel D,3336,28594,79.75,13
42686,Channel A,1950,29616,72.25,4
42686,Channel B,985,8386,96.53,23
42686,Channel C,3030,24314,79.4,5
42686,Channel D,3331,26671,80.06,16
42685,Channel A,2607,44145,79.49,5
42685,Channel B,1475,16241,98.93,18
42685,Channel C,1938,22569,82.63,7
42685,Channel D,5360,50380,83.17,15
42684,Channel A,3182,62319,79.55,9
42684,Channel B,1844,23694,95.3,18
42684,Channel C,4940,53718,79.15,10
42684,Channel D,6652,74317,81.02,10
42683,Channel A,3057,58864,80,10
42683,Channel B,1838,21323,96.57,18
42683,Channel C,4818,36099,71.83,10
42683,Channel D,5825,68103,81.26,14
42682,Channel A,3200,57705,76.67,7
42682,Channel B,1740,21296,97.29,16
42682,Channel C,4033,34581,76.08,10
42682,Channel D,6035,64468,80.42,18
42681,Channel A,3727,70064,77.64,9
42681,Channel B,1916,23400,94.66,19
42681,Channel C,5911,49033,67.92,7
42681,Channel D,6866,79767,80.75,19
42680,Channel A,2087,30230,76.43,7
42680,Channel B,1184,10476,85.92,20
42680,Channel C,1474,16291,72.99,5
42680,Channel D,3290,28908,79.77,18
42679,Channel A,1869,26301,78.05,4
42679,Channel B,1203,10894,89.7,19
42679,Channel C,4111,24373,71.82,7
42679,Channel D,3208,27151,81.86,14
42678,Channel A,3215,56984,77.69,8
42678,Channel B,1764,18977,93.02,34
42678,Channel C,6379,59867,74.06,12
42678,Channel D,5943,65837,82.53,19
42677,Channel A,3823,59977,79.28,7
42677,Channel B,2026,20700,90.98,16
42677,Channel C,5782,42224,71.46,6
42677,Channel D,6640,75021,83.05,11
42676,Channel A,4020,66442,76.77,9
42676,Channel B,1701,22949,99.19,28
42676,Channel C,5352,41492,70.97,9
42676,Channel D,6747,77979,82.17,15
42675,Channel A,3785,65292,76.33,10
42675,Channel B,1152,17444,108.48,30
42675,Channel C,2502,27342,72.66,12
42675,Channel D,6638,75501,81.75,12
42674,Channel A,3413,59891,75.3,9
42674,Channel B,1048,14680,105.82,15
42674,Channel C,6101,41569,68.51,5
42674,Channel D,6100,72128,79.46,14
42673,Channel A,1775,27768,76.22,3
42673,Channel B,517,4850,98.1,15
42673,Channel C,1150,14888,75.65,5
42673,Channel D,3037,26820,79.94,15
42672,Channel A,1582,23707,76.1,9
42672,Channel B,535,5507,108.24,16
42672,Channel C,3330,22768,79.05,12
42672,Channel D,2971,24051,79.28,17
42671,Channel A,2904,49357,78.49,7
42671,Channel B,1013,15510,105.6,31
42671,Channel C,1780,23691,78.34,12
42671,Channel D,5770,61346,81.51,20
42670,Channel A,3852,61398,77.85,3
42670,Channel B,1536,17532,107.75,18
42670,Channel C,4740,42983,76.67,6
42670,Channel D,6629,71765,82.69,15
42669,Channel A,4156,63060,78.39,5
42669,Channel B,1788,18864,105.93,35
42669,Channel C,4774,36053,68.22,7
42669,Channel D,6671,74928,81.05,14
42668,Channel A,4507,70177,77.6,9
42668,Channel B,1780,17608,107.26,29
42668,Channel C,4163,33166,73.98,9
42668,Channel D,7032,76593,79.15,17
42667,Channel A,4670,67705,75.79,3
42667,Channel B,1507,16046,98.32,28
42667,Channel C,5533,42331,72.11,5
42667,Channel D,7312,80671,80.99,17
42666,Channel A,1928,28281,76.52,3
42666,Channel B,824,6336,105.6,17
42666,Channel C,1403,17551,72.55,11
42666,Channel D,3269,28163,78.44,17
42665,Channel A,1689,25157,78.81,4
42665,Channel B,870,8242,114.47,27
42665,Channel C,3917,24778,72.91,11
42665,Channel D,3369,24705,80.29,18
42664,Channel A,2522,43265,79.84,3
42664,Channel B,1318,15108,107.79,15
42664,Channel C,1639,18687,75.45,8
42664,Channel D,5493,55922,83.7,19
42663,Channel A,3677,60974,79.44,8
42663,Channel B,1787,19561,104.76,26
42663,Channel C,5153,40602,73.05,6
42663,Channel D,7473,76901,81.41,10
42662,Channel A,3839,66473,80.05,10
42662,Channel B,1640,18286,106.71,20
42662,Channel C,4842,41337,63.89,7
42662,Channel D,7344,83801,80.86,12
42661,Channel A,3766,61116,77.78,5
42661,Channel B,1767,21392,108.17,29
42661,Channel C,2018,22625,69.52,9
42661,Channel D,7536,85411,79.58,16
42660,Channel A,4437,74060,76.76,4
42660,Channel B,1581,18433,104.07,16
42660,Channel C,6257,47282,63.1,6
42660,Channel D,8135,90975,78.13,12
42659,Channel A,2088,30945,75.58,4
42659,Channel B,913,7775,105.18,16
42659,Channel C,1438,14592,71.87,8
42659,Channel D,3636,31401,80.56,11
42658,Channel A,2057,28087,76.29,4
42658,Channel B,965,9209,103.7,26
42658,Channel C,4662,24483,70.16,8
42658,Channel D,3609,29943,81.97,20
42657,Channel A,3523,57226,79.43,8
42657,Channel B,1616,17075,103.71,15
42657,Channel C,2011,23322,76.16,11
42657,Channel D,6584,71034,82.35,17
42656,Channel A,3838,61351,80.14,7
42656,Channel B,1806,19232,102.47,26
42656,Channel C,5352,34549,70.77,10
42656,Channel D,7161,75803,83.87,16
42655,Channel A,3556,57013,77.68,6
42655,Channel B,2379,18308,94.65,20
42655,Channel C,4470,29372,67.47,10
42655,Channel D,6960,69338,81.52,18
42654,Channel A,3701,57107,76.51,4
42654,Channel B,1492,15159,102.87,23
42654,Channel C,5274,31255,65.51,10
42654,Channel D,6932,68964,81.13,13
42653,Channel A,3406,53074,77.11,7
42653,Channel B,1342,14443,100.64,26
42653,Channel C,5614,43791,73.46,12
42653,Channel D,6340,64195,79.14,13
42652,Channel A,1653,21314,75.52,8
42652,Channel B,690,5158,104.33,15
42652,Channel C,1200,9661,73.19,6
42652,Channel D,3065,22100,81.34,17
42651,Channel A,1533,17377,79.92,5
42651,Channel B,737,5725,109.43,27
42651,Channel C,3667,15904,73.46,12
42651,Channel D,3113,17825,81.98,14
42650,Channel A,2738,36966,80.64,8
42650,Channel B,1313,13020,103.53,35
42650,Channel C,1481,17946,79.21,12
42650,Channel D,5502,51709,84.56,10
42649,Channel A,3022,50058,81.41,8
42649,Channel B,1875,16646,108.37,22
42649,Channel C,4336,37026,75.11,12
42649,Channel D,6247,64132,82.42,17
42648,Channel A,3660,60328,77.49,4
42648,Channel B,3713,21173,92.28,22
42648,Channel C,5134,38960,71.64,8
42648,Channel D,6465,68227,81.08,14
42647,Channel A,3505,58794,75.89,6
42647,Channel B,1450,16835,101.08,27
42647,Channel C,2002,24758,73.69,5
42647,Channel D,6737,73647,81.35,15
42646,Channel A,3810,57900,75.82,5
42646,Channel B,1321,16149,98.95,16
42646,Channel C,5356,44684,69.89,8
42646,Channel D,6922,76322,80.43,14
42645,Channel A,1976,28824,76.3,3
42645,Channel B,694,5220,92.15,20
42645,Channel C,1382,15772,74.01,7
42645,Channel D,3386,30625,78.19,11
42644,Channel A,1662,23996,76.44,7
42644,Channel B,706,5740,110.72,28
42644,Channel C,4204,28029,77.45,8
42644,Channel D,3259,25584,80.63,20
42643,Channel A,2629,47272,79.68,8
42643,Channel B,1256,14604,104.92,19
42643,Channel C,1837,25531,77.54,10
42643,Channel D,5937,62596,83.43,15
42642,Channel A,2995,53615,79.33,6
42642,Channel B,1536,19372,106.77,27
42642,Channel C,4018,36757,78.54,12
42642,Channel D,6428,70399,83.43,16
42641,Channel A,3351,60502,77.19,5
42641,Channel B,1896,18649,103.33,33
42641,Channel C,4855,34720,67.92,5
42641,Channel D,6767,72942,81.74,16
42640,Channel A,3334,60368,77.54,10
42640,Channel B,1636,18314,101.74,35
42640,Channel C,1792,21144,68.08,11
42640,Channel D,6877,75447,80.52,20
42639,Channel A,3566,59372,76.68,6
42639,Channel B,1482,16451,101.7,34
42639,Channel C,5689,45095,63.09,7
42639,Channel D,6941,78886,80.84,15
42638,Channel A,1626,26018,77.43,10
42638,Channel B,759,5702,103.29,28
42638,Channel C,1231,15309,75.4,10
42638,Channel D,3299,28831,80.3,20
42637,Channel A,1447,21527,75,9
42637,Channel B,863,5533,102.92,31
42637,Channel C,3381,23370,75.14,11
42637,Channel D,3381,25146,80.85,16
42636,Channel A,2687,46425,80.06,5
42636,Channel B,1376,15763,107.67,32
42636,Channel C,1469,19484,76.59,5
42636,Channel D,5942,63667,84.75,14
42635,Channel A,3252,57151,79.01,4
42635,Channel B,1629,21375,110.22,19
42635,Channel C,5379,45569,76.01,12
42635,Channel D,6773,73669,82.03,16
42634,Channel A,3537,60911,78.67,10
42634,Channel B,1725,19928,107.84,28
42634,Channel C,2573,24928,74.94,5
42634,Channel D,7102,79050,81.33,20
42633,Channel A,3628,60308,77.85,4
42633,Channel B,1725,16016,105.92,34
42633,Channel C,3399,25918,74.07,6
42633,Channel D,7431,80448,78.91,17
42632,Channel A,3663,61500,74.88,10
42632,Channel B,1597,13956,104.58,31
42632,Channel C,3024,26344,72.69,11
42632,Channel D,7485,83768,78.72,15
42631,Channel A,1711,27179,75.5,4
42631,Channel B,889,7643,106.16,15
42631,Channel C,767,8419,72.78,9
42631,Channel D,3588,33296,78.74,15
42630,Channel A,1525,24214,79.32,9
42630,Channel B,998,8280,114.99,17
42630,Channel C,1486,13456,75.76,6
42630,Channel D,3515,31096,81.39,10
42629,Channel A,2724,45051,78.15,5
42629,Channel B,1885,15341,105.13,15
42629,Channel C,1394,17549,80,7
42629,Channel D,6181,69437,84.65,16
42628,Channel A,2856,50383,78.1,3
42628,Channel B,3216,20143,104.39,24
42628,Channel C,2888,26098,75.73,7
42628,Channel D,6936,76182,82.15,13
42627,Channel A,2953,58066,80.17,4
42627,Channel B,2006,21732,107.04,35
42627,Channel C,5599,37062,71.69,5
42627,Channel D,7034,83359,82.86,11
42626,Channel A,2955,54615,78.31,7
42626,Channel B,1620,17188,105.94,15
42626,Channel C,2041,24660,74.46,5
42626,Channel D,6964,80984,80.8,18
42625,Channel A,3374,56591,75.19,7
42625,Channel B,1496,15113,99.01,33
42625,Channel C,5856,38683,70.44,5
42625,Channel D,6936,81982,80.49,20
42624,Channel A,1539,25475,74.44,10
42624,Channel B,887,7488,104.7,31
42624,Channel C,917,13415,75.95,11
42624,Channel D,3525,33916,79.12,11
42623,Channel A,1545,24177,76.78,5
42623,Channel B,984,7728,106.62,21
42623,Channel C,2290,20357,76.83,5
42623,Channel D,3657,33469,80.98,11
42622,Channel A,2382,42210,79.58,3
42622,Channel B,1605,17141,107.24,22
42622,Channel C,1349,18590,77.3,9
42622,Channel D,6144,73298,84.13,10
42621,Channel A,2893,53357,81.56,4
42621,Channel B,2274,19127,99.37,26
42621,Channel C,3533,38049,76.37,12
42621,Channel D,6826,78397,83.59,10
42620,Channel A,3134,59429,78.66,9
42620,Channel B,2872,20817,108.97,20
42620,Channel C,4435,37766,70.31,12
42620,Channel D,6694,80408,82.04,17
42619,Channel A,3153,57670,76.87,5
42619,Channel B,1685,18198,105.31,32
42619,Channel C,4288,36159,69.43,6
42619,Channel D,6930,78428,79.35,15
42618,Channel A,1904,30027,76.19,9
42618,Channel B,926,10672,109.53,16
42618,Channel C,1040,15086,71.92,11
42618,Channel D,3521,37922,77.99,19
42617,Channel A,1177,17520,73.59,5
42617,Channel B,722,4800,107.54,34
42617,Channel C,991,10436,70.82,11
42617,Channel D,2649,20886,79.11,19
42616,Channel A,1297,19285,76.38,3
42616,Channel B,823,5477,106.63,26
42616,Channel C,2890,17738,73.32,7
42616,Channel D,3060,24334,81.77,11
42615,Channel A,2386,38631,79.21,7
42615,Channel B,1241,12093,104.53,24
42615,Channel C,1724,19604,77.2,8
42615,Channel D,5467,57826,82.23,19
42614,Channel A,2988,49055,77.72,8
42614,Channel B,1489,17549,105.36,27
42614,Channel C,4093,37209,75.63,5
42614,Channel D,6474,70153,81.83,14
42613,Channel A,3294,59410,76.45,10
42613,Channel B,1389,15837,105.75,26
42613,Channel C,4723,39550,66.5,6
42613,Channel D,6653,77434,79.7,12
42612,Channel A,3154,55492,77.23,6
42612,Channel B,1531,17070,109.42,29
42612,Channel C,2054,27009,70.51,7
42612,Channel D,6420,73157,79.92,17
42611,Channel A,3156,61180,73.76,4
42611,Channel B,1470,17147,106.64,27
42611,Channel C,4917,45804,66.96,10
42611,Channel D,6734,82694,80.28,17
42610,Channel A,1469,24181,74.3,8
42610,Channel B,737,6655,110.03,23
42610,Channel C,985,12495,73.12,8
42610,Channel D,3186,31470,77.96,12
42609,Channel A,1272,20633,79.6,7
42609,Channel B,791,6969,113.43,21
42609,Channel C,2622,22316,77.61,9
42609,Channel D,3347,27098,80.19,11
42608,Channel A,2422,45506,80.55,4
42608,Channel B,1413,17097,106.64,23
42608,Channel C,1494,19920,79.05,6
42608,Channel D,5919,65412,82.74,11
42607,Channel A,2793,50590,79.01,6
42607,Channel B,1577,18754,103.36,31
42607,Channel C,4131,40482,76.74,11
42607,Channel D,6509,75672,82.32,16
42606,Channel A,3205,56547,78.8,7
42606,Channel B,1592,18234,105.23,29
42606,Channel C,5134,38563,67.85,5
42606,Channel D,6515,75221,80.53,10
42605,Channel A,2989,53708,77.81,9
42605,Channel B,1582,15950,101.93,30
42605,Channel C,3308,31547,75.46,12
42605,Channel D,6599,80672,80.92,13
42604,Channel A,3282,60977,74.95,7
42604,Channel B,1468,16307,109.59,30
42604,Channel C,5211,40757,66.28,10
42604,Channel D,6772,79178,79.92,12
42603,Channel A,1650,27311,76.37,4
42603,Channel B,786,6508,106.76,30
42603,Channel C,1215,15957,80.49,11
42603,Channel D,3258,31564,79.8,14
42602,Channel A,1324,22473,77.39,7
42602,Channel B,828,6743,106.43,21
42602,Channel C,3213,28910,79.99,6
42602,Channel D,3230,29619,82.94,18
42601,Channel A,2307,42660,78.65,9
42601,Channel B,1302,15654,106.93,30
42601,Channel C,1650,21102,77.53,6
42601,Channel D,5684,63521,83.28,14
42600,Channel A,2660,49728,79.51,9
42600,Channel B,1497,16610,109.85,16
42600,Channel C,4881,50059,78.89,9
42600,Channel D,6194,68471,83.32,19
42599,Channel A,2897,55613,76.63,9
42599,Channel B,1766,18721,107.74,21
42599,Channel C,4134,33503,69.73,11
42599,Channel D,6315,69896,80.27,14
42598,Channel A,2939,53707,77.22,7
42598,Channel B,1439,13360,101.58,24
42598,Channel C,1618,18792,74.15,6
42598,Channel D,6517,78736,80.8,19
42597,Channel A,2826,54889,74.21,8
42597,Channel B,1370,15256,103.53,27
42597,Channel C,3929,31776,71.34,5
42597,Channel D,6521,78302,78.65,10
42596,Channel A,1290,20894,75.05,9
42596,Channel B,811,6973,107.6,31
42596,Channel C,1339,16588,73.53,6
42596,Channel D,3054,28154,77.69,13
42595,Channel A,1139,19117,77.34,7
42595,Channel B,832,7276,109.84,21
42595,Channel C,2885,22795,75.74,7
42595,Channel D,3014,24944,80.07,11
42594,Channel A,1941,36584,78.74,5
42594,Channel B,1351,11795,101.12,21
42594,Channel C,1708,22430,75.74,11
42594,Channel D,5343,59736,81.98,17
42593,Channel A,2461,45193,78.59,10
42593,Channel B,1613,17291,108.5,34
42593,Channel C,4471,42268,76.24,9
42593,Channel D,6108,68733,82.48,16
42592,Channel A,2782,53509,76.88,7
42592,Channel B,1766,17505,108.22,31
42592,Channel C,4353,39444,63.41,9
42592,Channel D,6303,73213,80.36,19
42591,Channel A,2866,54795,78.14,10
42591,Channel B,1616,13885,101.5,31
42591,Channel C,1777,22825,70.87,12
42591,Channel D,6504,74979,79.57,16
42590,Channel A,3023,55269,76.36,8
42590,Channel B,1448,12577,102.76,16
42590,Channel C,4735,37102,63,9
42590,Channel D,6835,79454,79.31,11
42589,Channel A,1297,21892,76.52,8
42589,Channel B,624,5548,117.94,29
42589,Channel C,1189,14497,72.43,6
42589,Channel D,3010,28733,78.15,12
42588,Channel A,1210,19292,76.99,8
42588,Channel B,612,4868,104.55,17
42588,Channel C,3528,28538,73.13,10
42588,Channel D,3254,26546,81.45,19
42587,Channel A,2186,40447,78.97,4
42587,Channel B,1155,12326,110.69,21
42587,Channel C,1876,22920,75.67,10
42587,Channel D,5649,61467,84.03,19
42586,Channel A,2702,49999,78.38,3
42586,Channel B,1325,13828,101.08,16
42586,Channel C,5392,49495,74.83,5
42586,Channel D,6333,70427,82.34,14
42585,Channel A,3036,53029,77.2,4
42585,Channel B,1460,14335,103.34,21
42585,Channel C,4850,41715,67.84,5
42585,Channel D,6265,71787,81.99,17
42584,Channel A,2763,53417,75.7,8
42584,Channel B,1299,12827,103.58,17
42584,Channel C,1911,22872,70.28,11
42584,Channel D,6386,72770,80.47,18
42583,Channel A,3003,57479,75.84,9
42583,Channel B,1199,12168,107.41,20
42583,Channel C,4598,38236,65.94,12
42583,Channel D,6590,76577,78.86,20
42582,Channel A,1375,22359,73.82,5
42582,Channel B,628,4283,102.56,22
42582,Channel C,1048,15550,76.95,6
42582,Channel D,2963,27812,76.85,18
42581,Channel A,1141,18591,76.39,10
42581,Channel B,678,5126,106.8,34
42581,Channel C,2616,22183,77.94,11
42581,Channel D,3023,23676,79.81,11
42580,Channel A,1979,35266,78.58,9
42580,Channel B,989,10883,106.45,35
42580,Channel C,1411,20230,78.05,9
42580,Channel D,4894,51585,82.99,20
42579,Channel A,2299,43572,78.46,5
42579,Channel B,1248,13885,109.99,32
42579,Channel C,4146,41030,74.85,9
42579,Channel D,5758,67822,82.97,15
42578,Channel A,2647,50823,77.74,4
42578,Channel B,1276,11719,102.15,15
42578,Channel C,4560,40012,69.29,12
42578,Channel D,5938,68910,81.38,15
42577,Channel A,2658,48658,78.1,6
42577,Channel B,1188,12505,102.57,15
42577,Channel C,2318,30606,71.64,8
42577,Channel D,5949,68793,81.43,17
42576,Channel A,2912,55502,74.99,10
42576,Channel B,1185,12381,105.71,17
42576,Channel C,4795,38758,70.03,12
42576,Channel D,5876,70852,77.89,16
42575,Channel A,1228,21219,73.55,7
42575,Channel B,664,4585,107.32,26
42575,Channel C,1182,15985,72.55,9
42575,Channel D,2595,25953,82.3,13
42574,Channel A,1135,18217,72.85,10
42574,Channel B,706,4397,102.93,31
42574,Channel C,2758,23981,73.58,10
42574,Channel D,2714,23403,81.4,12
42573,Channel A,2005,38649,79.49,5
42573,Channel B,1167,11749,103.72,33
42573,Channel C,1276,18387,76,10
42573,Channel D,4856,54164,81.12,10
42572,Channel A,2404,46312,79.02,8
42572,Channel B,1415,13554,106.16,31
42572,Channel C,3918,38523,75.5,7
42572,Channel D,5568,64230,83.01,14
42571,Channel A,2573,46843,77.51,8
42571,Channel B,1654,16662,106.48,23
42571,Channel C,3174,27053,73.58,11
42571,Channel D,5596,64744,80.38,14
42570,Channel A,2589,50665,77.96,9
42570,Channel B,1530,14954,104.9,32
42570,Channel C,3345,30673,76.99,6
42570,Channel D,5615,68767,82.34,16
42569,Channel A,2678,51385,79.3,6
42569,Channel B,1387,13601,109.4,27
42569,Channel C,3499,27034,73.91,11
42569,Channel D,5934,73439,81.43,13
42568,Channel A,1140,19517,72.61,8
42568,Channel B,788,5121,105.63,30
42568,Channel C,958,12939,73.65,11
42568,Channel D,2634,25139,79.11,19
42567,Channel A,1118,19492,76.19,10
42567,Channel B,860,6215,110.66,30
42567,Channel C,2368,20039,78.04,5
42567,Channel D,2803,23481,81.94,17
42566,Channel A,1783,34175,78.85,7
42566,Channel B,1355,12995,109.61,15
42566,Channel C,1399,19594,78.5,9
42566,Channel D,5065,59013,83.69,15
42565,Channel A,2248,41378,79.01,5
42565,Channel B,826,8671,91.7,19
42565,Channel C,3984,41427,75.97,9
42565,Channel D,5655,63675,82.24,11
42564,Channel A,2507,43860,76.4,6
42564,Channel B,270,2555,83.17,29
42564,Channel C,4844,37100,63.51,5
42564,Channel D,5577,64172,80.83,20
42563,Channel A,2411,43831,77.52,5
42563,Channel B,187,2897,78.37,27
42563,Channel C,1868,17157,67.19,5
42563,Channel D,5432,59071,81.18,20
42562,Channel A,2596,46079,75.35,10
42562,Channel B,210,2601,79.68,35
42562,Channel C,6804,35408,62.25,5
42562,Channel D,5453,64874,79.74,11
42561,Channel A,1196,18807,72.56,5
42561,Channel B,81,997,79.9,25
42561,Channel C,1224,10637,68.18,7
42561,Channel D,2586,21677,75.39,17
